✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results/metaworld_a100_20251123_233921/000-DiT-XL-2-2025-11-23-23-40-22/checkpoints/0080000.pt
✓ Starting from epoch 30, step 80000
✓ Action training will be enabled
[[34m2025-11-24 10:57:09[0m] DiT Parameters: 677,401,464
length of dataset 161132
[[34m2025-11-24 10:57:12[0m] Global batch size 64 num_processes (4)
[[34m2025-11-24 10:57:12[0m] Dataset contains 161,132 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
[[34m2025-11-24 10:57:12[0m] Using cosine annealing scheduler: warmup_steps=10000, total_steps=3776531, min_lr_ratio=0.01
✓ Restored optimizer and scheduler states
[[34m2025-11-24 10:57:14[0m] Training for 1500 epochs...
[[34m2025-11-24 10:57:14[0m] Beginning epoch 30...
[[34m2025-11-24 10:58:18[0m] (step=0080100) Train Loss image: 0.004987, Train Loss action:0.017692, Train Loss depth:0.000000, Train Steps/Sec: 1.56, LR: 9.99e-05
[[34m2025-11-24 10:59:16[0m] (step=0080200) Train Loss image: 0.004545, Train Loss action:0.015166, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:00:13[0m] (step=0080300) Train Loss image: 0.005596, Train Loss action:0.019104, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:01:11[0m] (step=0080400) Train Loss image: 0.004261, Train Loss action:0.013580, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:02:09[0m] (step=0080500) Train Loss image: 0.004534, Train Loss action:0.018039, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:03:06[0m] (step=0080600) Train Loss image: 0.003737, Train Loss action:0.013994, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:04:04[0m] (step=0080700) Train Loss image: 0.003709, Train Loss action:0.011727, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:05:01[0m] (step=0080800) Train Loss image: 0.005839, Train Loss action:0.019688, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:05:59[0m] (step=0080900) Train Loss image: 0.003947, Train Loss action:0.014275, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:06:56[0m] (step=0081000) Train Loss image: 0.005999, Train Loss action:0.021152, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
[[34m2025-11-24 11:07:54[0m] (step=0081100) Train Loss image: 0.004465, Train Loss action:0.017361, Train Loss depth:0.000000, Train Steps/Sec: 1.74, LR: 9.99e-05
